coverage,variant,avg_comprehensiveness,avg_sufficiency,avg_actual_coverage
0.05,trimming,0.5099999999999998,0.3999999999999999,1.0
0.05,floor,0.17425000000000002,0.5896000000000002,0.21
0.05,ceiling,1.3327291666666667,-0.06459999999999995,2.9358333333333335
0.1,trimming,0.5099999999999998,0.3999999999999999,1.0
0.1,floor,0.2049107142857143,0.5722857142857145,0.28214285714285714
0.1,ceiling,1.1206339285714286,0.05517142857142862,2.436785714285714
0.15,trimming,0.5099999999999998,0.3999999999999999,1.0
0.15,floor,0.2329268308080808,0.5564648484848487,0.3480631313131313
0.15,ceiling,1.0012377525252523,0.12259515151515156,2.1558535353535357
0.2,trimming,0.5099999999999998,0.3999999999999999,1.0
0.2,floor,0.236735119047619,0.5543142857142859,0.35702380952380947
0.2,ceiling,0.9421339285714286,0.15597142857142862,2.016785714285714
0.25,trimming,0.5099999999999998,0.3999999999999999,1.0
0.25,floor,0.24728500457875455,0.5483567032967034,0.3818470695970696
0.25,ceiling,0.8655069215506717,0.1992431501831502,1.8364868742368743
0.3,trimming,0.5099999999999998,0.3999999999999999,1.0
0.3,floor,0.26922738095238097,0.5359657142857145,0.43347619047619046
0.3,ceiling,0.7867357142857142,0.24372571428571432,1.6511428571428568
