metric,budget,baseline_strategy,n_examples,mean_hierarchical,mean_baseline,delta,ci_low,ci_high,p_value,cohens_dz,direction
comp_efficiency,30,sum,5029,0.9205698812965363,0.9579449525618826,-0.03737507126534644,-0.06478330778718895,-0.010303341084864802,0.0065993400659934,-0.03783381504351053,hierarchical_better
suff_efficiency,30,sum,5029,0.5431624393107928,0.9883850609656719,-0.4452226216548791,-0.47827067847656674,-0.4125396705587372,9.999000099990002e-05,-0.3775015497143044,hierarchical_better
comprehensiveness,10,mean,5029,0.30358792488155995,0.14324059257088245,0.16034733231067747,0.15058199522187993,0.17027582981605005,9.999000099990002e-05,0.45371643706222453,baseline_better
sufficiency,10,mean,5029,0.183562947704096,0.382908544011657,-0.19934559630756102,-0.2091176074410383,-0.1897440018425011,9.999000099990002e-05,-0.5690692893945445,hierarchical_better
comp_efficiency,10,mean,5029,1.0956986132601882,1.067658980723423,0.02803963253676521,-0.030676100539351523,0.0868297394210461,0.3578642135786421,0.01309854880645435,baseline_better
suff_efficiency,10,mean,5029,1.1941146243251535,3.6597178506555066,-2.4656032263303533,-2.581761347002545,-2.3511736049884266,9.999000099990002e-05,-0.5883034171109645,hierarchical_better
comprehensiveness,20,mean,5029,0.3093540345969421,0.18418578346091183,0.12516825113603025,0.11595579501425583,0.13454180794077067,9.999000099990002e-05,0.3741599948802826,baseline_better
sufficiency,20,mean,5029,0.17445330806503853,0.3407302339026361,-0.16627692583759757,-0.17529362653916097,-0.1572752221749669,9.999000099990002e-05,-0.5103264308779041,hierarchical_better
comp_efficiency,20,mean,5029,1.0133344667509103,0.9687200795024705,0.0446143872484397,0.005166407281731826,0.08426017358981917,0.028897110288971104,0.030949531301577755,baseline_better
suff_efficiency,20,mean,5029,0.8068250348437228,1.9986769041133796,-1.191851869269657,-1.252387411235237,-1.1323977651950599,9.999000099990002e-05,-0.5521998063761365,hierarchical_better
comprehensiveness,30,mean,5029,0.3182818515164067,0.22692087426371735,0.09136097725268937,0.08276655432587213,0.10014028560844433,9.999000099990002e-05,0.2916313770175428,baseline_better
sufficiency,30,mean,5029,0.15587527924597386,0.2727939366586329,-0.11691865741265899,-0.12509632271657423,-0.10865360945580256,9.999000099990002e-05,-0.396652028583597,hierarchical_better
comp_efficiency,30,mean,5029,0.9205698812965363,0.858556926528957,0.06201295476757905,0.033474191724026235,0.09082101285364157,9.999000099990002e-05,0.059525111634841116,baseline_better
suff_efficiency,30,mean,5029,0.5431624393107928,1.1106943456174554,-0.5675319063066626,-0.603827075502107,-0.5305916807201176,9.999000099990002e-05,-0.4310557453044754,hierarchical_better
comprehensiveness,10,max,5029,0.30358792488155995,0.16209963688367712,0.1414882879978828,0.13229416712811912,0.15100739704101232,9.999000099990002e-05,0.4192791746944791,baseline_better
sufficiency,10,max,5029,0.183562947704096,0.3661301169131669,-0.1825671692090709,-0.19183910153501282,-0.17332407924101872,9.999000099990002e-05,-0.545376954133275,hierarchical_better
comp_efficiency,10,max,5029,1.0956986132601882,1.2255454294995567,-0.12984681623936883,-0.18948489990881845,-0.07019036625161902,9.999000099990002e-05,-0.05987965206469279,hierarchical_better
suff_efficiency,10,max,5029,1.1941146243251535,3.53539847502863,-2.3412838507034768,-2.455926935857074,-2.2283745109090156,9.999000099990002e-05,-0.5703401985415907,hierarchical_better
comprehensiveness,20,max,5029,0.3093540345969421,0.20682136788564723,0.10253266671129485,0.09394360738343162,0.11140879392617825,9.999000099990002e-05,0.325477919759125,baseline_better
sufficiency,20,max,5029,0.17445330806503853,0.31559674685872235,-0.14114343879368382,-0.14951347370072046,-0.13266621983916377,9.999000099990002e-05,-0.46231926466624046,hierarchical_better
comp_efficiency,20,max,5029,1.0133344667509103,1.1011685864540532,-0.08783411970314314,-0.12640710330149862,-0.049455220584477357,0.00019998000199980003,-0.06253804027370397,hierarchical_better
suff_efficiency,20,max,5029,0.8068250348437228,1.8530709093563353,-1.046245874512613,-1.1030497646054078,-0.9896343433551449,9.999000099990002e-05,-0.5125992463271316,hierarchical_better
comprehensiveness,30,max,5029,0.3182818515164067,0.2491360960220746,0.06914575549433215,0.060918201667654555,0.07754800971715897,9.999000099990002e-05,0.2288892273835892,baseline_better
sufficiency,30,max,5029,0.15587527924597386,0.24704301463721365,-0.09116773539123978,-0.09861730197112663,-0.08371261244669997,9.999000099990002e-05,-0.33968287753743703,hierarchical_better
comp_efficiency,30,max,5029,0.9205698812965363,0.9482021533736005,-0.02763227207706421,-0.0554536825630084,0.00042583092850722264,0.054394560543945605,-0.027048007648758702,hierarchical_better
suff_efficiency,30,max,5029,0.5431624393107928,1.0044385489632577,-0.461276109652465,-0.495367223987373,-0.4276454291497889,9.999000099990002e-05,-0.3818855152219838,hierarchical_better
