metric,budget,baseline,delta,ci_lower,ci_upper,raw_p,holm_p,significant_holm,cohens_dz
comp_efficiency,10,max,-0.1298468162393688,-0.1894848999088184,-0.070190366251619,9.999000099990002e-05,0.000999900009999,True,-0.0598796520646927
comp_efficiency,10,mean,0.0280396325367652,-0.0306761005393515,0.0868297394210461,0.3578642135786421,0.0,False,0.0130985488064543
comp_efficiency,10,sum,-0.1706224841365204,-0.2289983269998237,-0.112822355278725,9.999000099990002e-05,0.0033996600339966,True,-0.0801654793380387
comp_efficiency,20,max,-0.0878341197031431,-0.1264071033014986,-0.0494552205844773,0.0001999800019998,0.000999900009999,True,-0.0625380402737039
comp_efficiency,20,mean,0.0446143872484397,0.0051664072817318,0.0842601735898191,0.0288971102889711,0.0866913308669133,False,0.0309495313015777
comp_efficiency,20,sum,-0.106854268088451,-0.1453948999286899,-0.0674063653718509,9.999000099990002e-05,0.002999700029997,True,-0.0768723424517921
comp_efficiency,30,max,-0.0276322720770642,-0.0554536825630084,0.0004258309285072,0.0543945605439456,0.0,False,-0.0270480076487587
comp_efficiency,30,mean,0.062012954767579,0.0334741917240262,0.0908210128536415,9.999000099990002e-05,0.0015998400159984,True,0.0595251116348411
comp_efficiency,30,sum,-0.0373750712653464,-0.0647833077871889,-0.0103033410848648,0.0065993400659934,0.0263973602639736,True,-0.0378338150435105
comprehensiveness,10,max,0.1414882879978828,0.1322941671281191,0.1510073970410123,9.999000099990002e-05,0.0012998700129987,True,0.4192791746944791
comprehensiveness,10,mean,0.1603473323106774,0.1505819952218799,0.17027582981605,9.999000099990002e-05,0.0024997500249975,True,0.4537164370622245
comprehensiveness,10,sum,0.1371367620725535,0.1279708787539667,0.1461905741495572,9.999000099990002e-05,0.0035996400359964,True,0.4167364383377502
comprehensiveness,20,max,0.1025326667112948,0.0939436073834316,0.1114087939261782,9.999000099990002e-05,0.001999800019998,True,0.325477919759125
comprehensiveness,20,mean,0.1251682511360302,0.1159557950142558,0.1345418079407706,9.999000099990002e-05,0.0020997900209979,True,0.3741599948802826
comprehensiveness,20,sum,0.0986785984569719,0.0900877278283694,0.1074941992735925,9.999000099990002e-05,0.0031996800319968,True,0.3176744171809352
comprehensiveness,30,max,0.0691457554943321,0.0609182016676545,0.0775480097171589,9.999000099990002e-05,0.0005999400059994,True,0.2288892273835892
comprehensiveness,30,mean,0.0913609772526893,0.0827665543258721,0.1001402856084443,9.999000099990002e-05,0.0016998300169983,True,0.2916313770175428
comprehensiveness,30,sum,0.0658004441005989,0.0575731471024256,0.0740254496830786,9.999000099990002e-05,0.0027997200279972,True,0.2239040697459317
suff_efficiency,10,max,-2.3412838507034768,-2.455926935857074,-2.228374510909016,9.999000099990002e-05,0.0008999100089991,True,-0.5703401985415907
suff_efficiency,10,mean,-2.4656032263303533,-2.581761347002545,-2.351173604988426,9.999000099990002e-05,0.0023997600239976,True,-0.5883034171109645
suff_efficiency,10,sum,-2.299202083638465,-2.412785834103546,-2.1882168331016416,9.999000099990002e-05,0.0032996700329967,True,-0.5653391264353438
suff_efficiency,20,max,-1.046245874512613,-1.1030497646054078,-0.9896343433551448,9.999000099990002e-05,0.0011998800119988,True,-0.5125992463271316
suff_efficiency,20,mean,-1.191851869269657,-1.252387411235237,-1.13239776519506,9.999000099990002e-05,0.0017998200179982,True,-0.5521998063761365
suff_efficiency,20,sum,-1.0247692540143167,-1.0816508217592171,-0.9688026526918334,9.999000099990002e-05,0.0028997100289971,True,-0.5107851383284663
suff_efficiency,30,max,-0.461276109652465,-0.495367223987373,-0.4276454291497889,9.999000099990002e-05,0.0006999300069993,True,-0.3818855152219838
suff_efficiency,30,mean,-0.5675319063066626,-0.603827075502107,-0.5305916807201176,9.999000099990002e-05,0.0013998600139986,True,-0.4310557453044754
suff_efficiency,30,sum,-0.4452226216548791,-0.4782706784765667,-0.4125396705587372,9.999000099990002e-05,0.0025997400259974,True,-0.3775015497143044
sufficiency,10,max,-0.1825671692090709,-0.1918391015350128,-0.1733240792410187,9.999000099990002e-05,0.0018998100189981,True,-0.545376954133275
sufficiency,10,mean,-0.199345596307561,-0.2091176074410383,-0.1897440018425011,9.999000099990002e-05,0.0022997700229977,True,-0.5690692893945445
sufficiency,10,sum,-0.1771273830055116,-0.186313224013171,-0.1681620940419236,9.999000099990002e-05,0.0034996500349965,True,-0.5410418565299923
sufficiency,20,max,-0.1411434387936838,-0.1495134737007204,-0.1326662198391637,9.999000099990002e-05,0.0010998900109989,True,-0.4623192646662404
sufficiency,20,mean,-0.1662769258375975,-0.1752936265391609,-0.1572752221749669,9.999000099990002e-05,0.0021997800219978,True,-0.5103264308779041
sufficiency,20,sum,-0.1370250177787517,-0.1453256978473187,-0.1287090175704213,9.999000099990002e-05,0.0030996900309969,True,-0.4615335160041032
sufficiency,30,max,-0.0911677353912397,-0.0986173019711266,-0.0837126124466999,9.999000099990002e-05,0.0007999200079992,True,-0.339682877537437
sufficiency,30,mean,-0.1169186574126589,-0.1250963227165742,-0.1086536094558025,9.999000099990002e-05,0.0014998500149985,True,-0.396652028583597
sufficiency,30,sum,-0.0871364343566029,-0.094480896718944,-0.0798171966527934,9.999000099990002e-05,0.0026997300269973,True,-0.3327928850110115
